skill,compound_cost,play,comparison,high_spiritus,low_spiritus,high_selection_probability,low_selection_probability,probability_difference,high_compound_value,low_compound_value,utility_difference,low_affordable,low_durch_affordable
10,1,Absetzen,8_vs_7,8,7,0.4335990131937713,0.4297805561190478,0.0038184570747235025,0.8432641518611876,0.8316075744145477,0.011656577446639949,True,True
10,1,Scambiar di Punta,8_vs_7,8,7,0.4335990131937713,0.4297805561190478,0.0038184570747235025,0.8432641518611876,0.8316075744145477,0.011656577446639949,True,True
10,1,Schielhau,8_vs_7,8,7,0.6235550500922612,0.6082367438399706,0.015318306252290581,0.8432641518611876,0.8316075744145477,0.011656577446639949,True,True
10,1,Absetzen,5_vs_4,5,4,0.4175288844579139,0.40652401788636083,0.011004866571553085,0.7974536753051803,0.7700995928940967,0.027354082411083613,True,True
10,1,Scambiar di Punta,5_vs_4,5,4,0.4175288844579139,0.40652401788636083,0.011004866571553085,0.7974536753051803,0.7700995928940967,0.027354082411083613,True,True
10,1,Schielhau,5_vs_4,5,4,0.5622165180858701,0.5245291582926542,0.03768735979321591,0.7974536753051803,0.7700995928940967,0.027354082411083613,True,True
10,1,Absetzen,3_vs_2,3,2,0.3870963445654367,0.34205719516231936,0.04503914940311732,0.7272956436220188,0.6446047634838843,0.08269088013813453,True,True
10,1,Scambiar di Punta,3_vs_2,3,2,0.3870963445654367,0.34205719516231936,0.04503914940311732,0.7272956436220188,0.6446047634838843,0.08269088013813453,True,True
10,1,Schielhau,3_vs_2,3,2,0.46515550846952364,0.3545729606372309,0.11058254783229271,0.7272956436220188,0.6446047634838843,0.08269088013813453,True,True
10,1,Absetzen,2_vs_1,2,1,0.34205719516231936,0.058585159635262375,0.28347203552705696,0.6446047634838843,0.1419999999999999,0.5026047634838844,True,True
10,1,Scambiar di Punta,2_vs_1,2,1,0.34205719516231936,0.058585159635262375,0.28347203552705696,0.6446047634838843,0.1419999999999999,0.5026047634838844,True,True
10,1,Schielhau,2_vs_1,2,1,0.3545729606372309,0.03257014900412761,0.3220028116331033,0.6446047634838843,0.1419999999999999,0.5026047634838844,True,True
10,2,Absetzen,8_vs_7,8,7,0.3596401817740901,0.3443811273236022,0.015259054450487863,0.6748717262757353,0.6484916998014008,0.026380026474334572,True,True
10,2,Scambiar di Punta,8_vs_7,8,7,0.3596401817740901,0.3443811273236022,0.015259054450487863,0.6748717262757353,0.6484916998014008,0.026380026474334572,True,True
10,2,Schielhau,8_vs_7,8,7,0.39392379708530706,0.35953016416145406,0.034393632923853,0.6748717262757353,0.6484916998014008,0.026380026474334572,True,True
10,2,Absetzen,5_vs_4,5,4,0.29266358705309775,0.24436523973782578,0.04829834731527197,0.567553268199277,0.4973952365161155,0.07015803168316148,True,True
10,2,Scambiar di Punta,5_vs_4,5,4,0.29266358705309775,0.24436523973782578,0.04829834731527197,0.567553268199277,0.4973952365161155,0.07015803168316148,True,True
10,2,Schielhau,5_vs_4,5,4,0.2636541126245931,0.1951592182382427,0.0684948943863504,0.567553268199277,0.4973952365161155,0.07015803168316148,True,True
10,2,Absetzen,3_vs_2,3,2,0.16125297175024736,0.009046942348358507,0.15220602940188885,0.3719004071059032,-0.2133952365161158,0.585295643622019,True,True
10,2,Scambiar di Punta,3_vs_2,3,2,0.16125297175024736,0.009046942348358507,0.15220602940188885,0.3719004071059032,-0.2133952365161158,0.585295643622019,True,True
10,2,Schielhau,3_vs_2,3,2,0.10774138564809825,0.004652604239653325,0.10308878140844492,0.3719004071059032,-0.2133952365161158,0.585295643622019,True,True
10,2,Absetzen,2_vs_1,2,1,0.009046942348358507,0.0,0.009046942348358507,-0.2133952365161158,,,False,True
10,2,Scambiar di Punta,2_vs_1,2,1,0.009046942348358507,0.0,0.009046942348358507,-0.2133952365161158,,,False,True
10,2,Schielhau,2_vs_1,2,1,0.004652604239653325,0.0,0.004652604239653325,-0.2133952365161158,,,False,True
14,1,Absetzen,8_vs_7,8,7,0.4858471287011211,0.48494375877814483,0.0009033699229762937,1.2432641518611875,1.2316075744145476,0.011656577446639949,True,True
14,1,Scambiar di Punta,8_vs_7,8,7,0.4858471287011211,0.48494375877814483,0.0009033699229762937,1.2432641518611875,1.2316075744145476,0.011656577446639949,True,True
14,1,Schielhau,8_vs_7,8,7,0.8006620198578386,0.790164551192502,0.010497468665336629,1.2432641518611875,1.2316075744145476,0.011656577446639949,True,True
14,1,Absetzen,5_vs_4,5,4,0.4819463955638824,0.47912660436099924,0.0028197912028831706,1.19745367530518,1.1700995928940967,0.02735408241108339,True,True
14,1,Scambiar di Punta,5_vs_4,5,4,0.4819463955638824,0.47912660436099924,0.0028197912028831706,1.19745367530518,1.1700995928940967,0.02735408241108339,True,True
14,1,Schielhau,5_vs_4,5,4,0.7570620034040932,0.7280789926520862,0.028983010752007043,1.19745367530518,1.1700995928940967,0.02735408241108339,True,True
14,1,Absetzen,3_vs_2,3,2,0.4738400812532564,0.4598464708299911,0.013993610423265301,1.1272956436220187,1.0446047634838842,0.08269088013813453,True,True
14,1,Scambiar di Punta,3_vs_2,3,2,0.4738400812532564,0.4598464708299911,0.013993610423265301,1.1272956436220187,1.0446047634838842,0.08269088013813453,True,True
14,1,Schielhau,3_vs_2,3,2,0.6785944981056339,0.5715417439773651,0.10705275412826876,1.1272956436220187,1.0446047634838842,0.08269088013813453,True,True
14,1,Absetzen,2_vs_1,2,1,0.4598464708299911,0.20630956300819148,0.2535369078217996,1.0446047634838842,0.5419999999999998,0.5026047634838844,True,True
14,1,Scambiar di Punta,2_vs_1,2,1,0.4598464708299911,0.20630956300819148,0.2535369078217996,1.0446047634838842,0.5419999999999998,0.5026047634838844,True,True
14,1,Schielhau,2_vs_1,2,1,0.5715417439773651,0.07558587496409086,0.49595586901327426,1.0446047634838842,0.5419999999999998,0.5026047634838844,True,True
14,2,Absetzen,8_vs_7,8,7,0.46544568666460584,0.46046060926034565,0.004985077404260185,1.0748717262757352,1.0484916998014007,0.026380026474334572,True,True
14,2,Scambiar di Punta,8_vs_7,8,7,0.46544568666460584,0.46046060926034565,0.004985077404260185,1.0748717262757352,1.0484916998014007,0.026380026474334572,True,True
14,2,Schielhau,8_vs_7,8,7,0.6118092380418328,0.5765452472198835,0.03526399082194931,1.0748717262757352,1.0484916998014007,0.026380026474334572,True,True
14,2,Absetzen,5_vs_4,5,4,0.440778772769443,0.41729168067726646,0.02348709209217653,0.9675532681992769,0.8973952365161154,0.07015803168316148,True,True
14,2,Scambiar di Punta,5_vs_4,5,4,0.440778772769443,0.41729168067726646,0.02348709209217653,0.9675532681992769,0.8973952365161154,0.07015803168316148,True,True
14,2,Schielhau,5_vs_4,5,4,0.46491137786613235,0.3704874395911512,0.09442393827498113,0.9675532681992769,0.8973952365161154,0.07015803168316148,True,True
14,2,Absetzen,3_vs_2,3,2,0.3577474694129409,0.044395607911813205,0.3133518615011277,0.7719004071059031,0.1866047634838841,0.585295643622019,True,True
14,2,Scambiar di Punta,3_vs_2,3,2,0.3577474694129409,0.044395607911813205,0.3133518615011277,0.7719004071059031,0.1866047634838841,0.585295643622019,True,True
14,2,Schielhau,3_vs_2,3,2,0.22668978087622565,0.011222790536008378,0.21546699034021727,0.7719004071059031,0.1866047634838841,0.585295643622019,True,True
14,2,Absetzen,2_vs_1,2,1,0.044395607911813205,0.0,0.044395607911813205,0.1866047634838841,,,False,True
14,2,Scambiar di Punta,2_vs_1,2,1,0.044395607911813205,0.0,0.044395607911813205,0.1866047634838841,,,False,True
