skill_a,skill_b,compound_cost,start_spiritus_a,start_spiritus_b,information,future_fights,recovery,parry,durch_cost,timing,seed,play,opportunities,affordable_opportunities,declarations,successes,damage,spiritus_spent,parry_displaced,counter_displaced,spiritus_at_declaration_sum,early_opportunities,early_declarations,late_opportunities,late_declarations,spirit_opportunities,spirit_declarations,decline_reasons,basic_value_sum,counter_value_sum,compound_value_sum,compound_no_cost_value_sum,value_observations,compound_value_observations,declaration_rate,success_rate,damage_per_fight,spiritus_per_fight,mean_spiritus_at_declaration,early_use_rate,late_use_rate,damage_share,legal_unaffordable_opportunities,declaration_rate_by_spiritus,declaration_rate_by_requested_band,mean_basic_parry_value,mean_counter_value,mean_compound_value,mean_compound_no_cost_value
10,10,1,8,8,adaptive_revelation,0,R0,P1,1,pre,8212026,Absetzen,6943,6943,3100,1563,7054,3100,1287,1813,23852,3540,1529,3403,1571,"{'8': 5203, '7': 1512, '6': 209, '5': 18, '4': 1}","{'8': 2272, '7': 717, '6': 102, '5': 9}","{'other policy exploration': 3827, 'tactical/HP urgency': 16}",4199.850000000035,4052.6812499999637,7147.192828719112,8252.53125000002,6943,6943,0.44649287051706754,0.5041935483870967,0.5878333333333333,0.25833333333333336,7.694193548387097,0.43192090395480226,0.4616514839847194,0.043566337685437946,0,"{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.5, '6': 0.4880382775119617, '7': 0.4742063492063492, '8': 0.4366711512588891}","{'6-8': 0.446418255343732, '3-5': 0.47368421052631576, '2': 0.0, '1': 0.0, '0': 0.0}",0.6049042200777812,0.5837075111623166,1.0294098845915471,1.1886117312401008
10,10,1,8,8,adaptive_revelation,0,R0,P1,1,pre,8212026,Scambiar di Punta,6943,6943,3138,1585,7149,3138,1277,1861,24221,3540,1574,3403,1564,"{'8': 5203, '7': 1512, '6': 209, '5': 18, '4': 1}","{'8': 2371, '7': 661, '6': 97, '5': 8, '4': 1}","{'other policy exploration': 3789, 'tactical/HP urgency': 16}",4199.850000000035,4052.6812499999637,7147.192828719112,8252.53125000002,6943,6943,0.4519660089298574,0.5050987890376035,0.59575,0.2615,7.718610579987253,0.44463276836158194,0.4595944754628269,0.044153068913126724,0,"{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0, '5': 0.4444444444444444, '6': 0.46411483253588515, '7': 0.43716931216931215, '8': 0.4556986354026523}","{'6-8': 0.45190641247833624, '3-5': 0.47368421052631576, '2': 0.0, '1': 0.0, '0': 0.0}",0.6049042200777812,0.5837075111623166,1.0294098845915471,1.1886117312401008
10,10,1,8,8,adaptive_revelation,0,R0,P1,1,pre,8212026,Schielhau,9220,9220,6624,3376,12154,6624,676,1797,51350,4270,2889,4950,3735,"{'8': 7284, '7': 1687, '6': 236, '5': 12, '4': 1}","{'8': 5181, '7': 1254, '6': 179, '5': 10}","{'other policy exploration': 1344, 'tactical/HP urgency': 1252}",5574.053124999963,5353.6812500000415,9465.09984642488,10927.734374999944,9220,9220,0.7184381778741865,0.5096618357487923,1.0128333333333333,0.552,7.7521135265700485,0.6765807962529274,0.7545454545454545,0.07506454043504576,0,"{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.8333333333333334, '6': 0.7584745762711864, '7': 0.7433313574392413, '8': 0.7112850082372323}","{'6-8': 0.7183664603019442, '3-5': 0.7692307692307693, '2': 0.0, '1': 0.0, '0': 0.0}",0.6045610764642042,0.5806595715835186,1.0265834974430457,1.1852206480477163
10,10,1,8,8,perfect_information,0,R0,P1,1,pre,8213035,Absetzen,8654,8654,3883,1902,8590,3883,1561,2322,30150,4438,1941,4216,1942,"{'8': 6909, '7': 1539, '6': 194, '5': 10, '4': 1, '3': 1}","{'8': 3078, '6': 91, '7': 705, '5': 9}","{'other policy exploration': 4751, 'tactical/HP urgency': 20}",5231.006249999991,5036.562500000031,8894.983831187266,10267.568750000006,8654,8654,0.4486942454356367,0.48982745300025754,0.7158333333333333,0.32358333333333333,7.764614988411022,0.4373591707976566,0.4606261859582543,0.052692921113973744,0,"{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.9, '6': 0.4690721649484536, '7': 0.4580896686159844, '8': 0.4455058619192358}","{'6-8': 0.4482758620689655, '3-5': 0.75, '2': 0.0, '1': 0.0, '0': 0.0}",0.604461087358446,0.5819924312456703,1.0278465254434095,1.1864535186041143
10,10,1,8,8,perfect_information,0,R0,P1,1,pre,8213035,Scambiar di Punta,8654,8654,3903,1933,8723,3903,1579,2324,30322,4438,1947,4216,1956,"{'8': 6909, '7': 1539, '6': 194, '5': 10, '4': 1, '3': 1}","{'8': 3099, '7': 712, '6': 89, '5': 1, '4': 1, '3': 1}","{'other policy exploration': 4731, 'tactical/HP urgency': 20}",5231.006249999991,5036.562500000031,8894.983831187266,10267.568750000006,8654,8654,0.4510053154610585,0.49526005636689724,0.7269166666666667,0.32525,7.768895721240072,0.4387111311401532,0.4639468690702087,0.05350877192982456,0,"{'0': 0.0, '1': 0.0, '2': 0.0, '3': 1.0, '4': 1.0, '5': 0.1, '6': 0.4587628865979381, '7': 0.46263807667316437, '8': 0.4485453755970473}","{'6-8': 0.4512844249016431, '3-5': 0.25, '2': 0.0, '1': 0.0, '0': 0.0}",0.604461087358446,0.5819924312456703,1.0278465254434095,1.1864535186041143
10,10,1,8,8,perfect_information,0,R0,P1,1,pre,8213035,Schielhau,5343,5343,3844,1937,6816,3844,333,1055,29804,2322,1589,3021,2255,"{'8': 4242, '7': 967, '6': 126, '5': 7, '2': 1}","{'8': 3012, '7': 726, '6': 99, '5': 6, '2': 1}","{'tactical/HP urgency': 686, 'other policy exploration': 813}",3223.756250000023,3107.0499999999793,5483.167891565457,6330.80625000001,5343,5343,0.719446004117537,0.5039021852237253,0.568,0.32033333333333336,7.753381893860562,0.6843238587424634,0.7464415756372063,0.04181082075818918,0,"{'0': 0.0, '1': 0.0, '2': 1.0, '3': 0.0, '4': 0.0, '5': 0.8571428571428571, '6': 0.7857142857142857, '7': 0.750775594622544, '8': 0.71004243281471}","{'6-8': 0.7192127460168697, '3-5': 0.8571428571428571, '2': 1.0, '1': 0.0, '0': 0.0}",0.6033607055961113,0.5815178738536364,1.0262339306691852,1.1848785794497492
10,10,2,8,8,adaptive_revelation,0,R0,P1,1,pre,8214044,Absetzen,6830,6830,2678,1399,6299,5356,1124,1554,20342,3480,1283,3350,1395,"{'8': 5495, '6': 884, '5': 69, '7': 295, '3': 4, '4': 78, '2': 5}","{'8': 2122, '6': 354, '5': 29, '7': 135, '4': 38}","{'other policy exploration': 4108, 'tactical/HP urgency': 37, 'Spiritus conservation': 7}",4116.312500000041,3977.343749999971,5804.271124036883,8093.656250000013,6830,6830,0.3920937042459737,0.522404779686333,0.5249166666666667,0.44633333333333336,7.59596713965646,0.36867816091954025,0.4164179104477612,0.03859705022702345,0,"{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.48717948717948717, '5': 0.42028985507246375, '6': 0.4004524886877828, '7': 0.4576271186440678, '8': 0.3861692447679709}","{'6-8': 0.39121965837578665, '3-5': 0.44370860927152317, '2': 0.0, '1': 0.0, '0': 0.0}",0.6026811859443691,0.5823343704245931,0.8498200767257514,1.1850155563689624
10,10,2,8,8,adaptive_revelation,0,R0,P1,1,pre,8214044,Scambiar di Punta,6830,6830,2655,1310,5936,5310,1115,1540,20239,3480,1275,3350,1380,"{'8': 5495, '6': 884, '5': 69, '7': 295, '3': 4, '4': 78, '2': 5}","{'8': 2130, '6': 355, '7': 122, '5': 24, '4': 23, '3': 1}","{'other policy exploration': 4131, 'tactical/HP urgency': 37, 'Spiritus conservation': 7}",4116.312500000041,3977.343749999971,5804.271124036883,8093.656250000013,6830,6830,0.38872620790629575,0.4934086629001883,0.49466666666666664,0.4425,7.622975517890772,0.36637931034482757,0.41194029850746267,0.03637277189198463,0,"{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.25, '4': 0.2948717948717949, '5': 0.34782608695652173, '6': 0.40158371040723984, '7': 0.4135593220338983, '8': 0.38762511373976344}","{'6-8': 0.39062031765058436, '3-5': 0.31788079470198677, '2': 0.0, '1': 0.0, '0': 0.0}",0.6026811859443691,0.5823343704245931,0.8498200767257514,1.1850155563689624
10,10,2,8,8,adaptive_revelation,0,R0,P1,1,pre,8214044,Schielhau,9680,9680,4976,2490,9000,9952,562,1385,38282,4414,2012,5266,2964,"{'6': 946, '8': 8011, '7': 582, '5': 71, '3': 10, '4': 59, '2': 1}","{'6': 507, '8': 4104, '7': 306, '4': 23, '5': 33, '3': 3}","{'other policy exploration': 2613, 'tactical/HP urgency': 2083, 'Spiritus conservation': 8}",5838.921874999944,5639.493750000068,8265.632524682971,11478.415624999949,9680,9680,0.5140495867768595,0.5004019292604501,0.75,0.8293333333333334,7.693327974276527,0.4558223833257816,0.5628560577288264,0.05514739673649961,0,"{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.3, '4': 0.3898305084745763, '5': 0.4647887323943662, '6': 0.5359408033826638, '7': 0.5257731958762887, '8': 0.5122955935588566}","{'6-8': 0.5154628367753433, '3-5': 0.42142857142857143, '2': 0.0, '1': 0.0, '0': 0.0}",0.6031944085743743,0.5825923295454616,0.8538876575085714,1.1857867381198295
10,10,2,8,8,perfect_information,0,R0,P1,1,pre,8215053,Absetzen,8730,8730,3425,1681,7464,6850,1492,1933,26181,4425,1630,4305,1795,"{'6': 1015, '8': 7139, '7': 395, '4': 99, '5': 75, '3': 4, '2': 3}","{'6': 410, '8': 2788, '7': 161, '5': 29, '4': 34, '3': 3}","{'other policy exploration': 5257, 'Spiritus conservation': 8, 'tactical/HP urgency': 40}",5293.571874999988,5071.3062500000215,7446.819875462229,10364.878124999981,8730,8730,0.39232531500572737,0.4908029197080292,0.622,0.5708333333333333,7.644087591240876,0.36836158192090396,0.4169570267131243,0.04558167938931298,0,"{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.75, '4': 0.3434343434343434, '5': 0.38666666666666666, '6': 0.4039408866995074, '7': 0.40759493670886077, '8': 0.39053088667880653}","{'6-8': 0.39291145163176977, '3-5': 0.3707865168539326, '2': 0.0, '1': 0.0, '0': 0.0}",0.6063656214203881,0.5809056414662109,0.8530148769143446,1.1872712628865958
